Date,Actual,Forecast
3243,30000.0,10350.530887058128
3244,16500.0,9935.86199032124
3245,14200.0,9722.000006457349
3246,12000.0,9568.577648351184
3247,12000.0,9455.198450839507
3248,7000.0,9395.892718306404
3249,9500.0,9367.741596966112
3250,9500.0,9352.36863276423
3251,9500.0,9342.916075740914
3252,9500.0,9337.329282685016
3253,9500.0,9334.295019442214
3254,13000.0,9332.662380490032
3255,13000.0,9331.74433098192
3256,13000.0,9331.215481142663
3257,13000.0,9330.916143057013
3258,13000.0,9330.750103154121
3259,21500.0,9330.657827070065
3260,11800.0,9330.605887031568
3261,11800.0,9330.5765394723
3262,13000.0,9330.560056079024
3263,10000.0,9330.55083988604
3264,23500.0,9330.54567823562
3265,10000.0,9330.542777738536
3266,10000.0,9330.541147358328
3267,7500.0,9330.54023258442
3268,9500.0,9330.539719781129
3269,9500.0,9330.539432108439
3270,9500.0,9330.539270600064
3271,9500.0,9330.539179933772
3272,10000.0,9330.539129062188
3273,8500.0,9330.539100522803
3274,8500.0,9330.539084508062
3275,11000.0,9330.539075519882
3276,7500.0,9330.53907047569
3277,10000.0,9330.539067645248
3278,10500.0,9330.53906605702
3279,11000.0,9330.53906516576
3280,12500.0,9330.5390646656
3281,11000.0,9330.539064384926
3282,10500.0,9330.539064227425
3283,9800.0,9330.539064139044
3284,5000.0,9330.539064089447
3285,10500.0,9330.539064061615
3286,10500.0,9330.539064045997
3287,11000.0,9330.539064037233
3288,10500.0,9330.539064032315
3289,9500.0,9330.539064029555
3290,9500.0,9330.539064028007
3291,10500.0,9330.539064027138
3292,13000.0,9330.53906402665
3293,9500.0,9330.539064026378
3294,1500.0,9330.539064026225
3295,11000.0,9330.53906402614
3296,9500.0,9330.53906402609
3297,7000.0,9330.539064026063
3298,8500.0,9330.539064026048
3299,13000.0,9330.53906402604
3300,9500.0,9330.539064026034
3301,9800.0,9330.539064026032
3302,9500.0,9330.53906402603
3303,13000.0,9330.53906402603
3304,5000.0,9330.53906402603
3305,13000.0,9330.53906402603
3306,5400.0,9330.53906402603
3307,9800.0,9330.53906402603
3308,11000.0,9330.53906402603
3309,12000.0,9330.53906402603
3310,11800.0,9330.53906402603
3311,9500.0,9330.53906402603
3312,4500.0,9330.53906402603
3313,4000.0,9330.53906402603
3314,9800.0,9330.53906402603
3315,5000.0,9330.53906402603
3316,9800.0,9330.53906402603
3317,4500.0,9330.53906402603
3318,4500.0,9330.53906402603
3319,18000.0,9330.53906402603
3320,5000.0,9330.53906402603
3321,2500.0,9330.53906402603
3322,11800.0,9330.53906402603
3323,11800.0,9330.53906402603
3324,11800.0,9330.53906402603
3325,9500.0,9330.53906402603
3326,15000.0,9330.53906402603
3327,15000.0,9330.53906402603
3328,9500.0,9330.53906402603
3329,9500.0,9330.53906402603
3330,3500.0,9330.53906402603
3331,3500.0,9330.53906402603
3332,9800.0,9330.53906402603
3333,20500.0,9330.53906402603
3334,14500.0,9330.53906402603
3335,10500.0,9330.53906402603
3336,10500.0,9330.53906402603
3337,11500.0,9330.53906402603
3338,3000.0,9330.53906402603
3339,18000.0,9330.53906402603
3340,5000.0,9330.53906402603
3341,9500.0,9330.53906402603
3342,9800.0,9330.53906402603
3343,2500.0,9330.53906402603
3344,8500.0,9330.53906402603
3345,7500.0,9330.53906402603
3346,3500.0,9330.53906402603
3347,9800.0,9330.53906402603
3348,9800.0,9330.53906402603
3349,11000.0,9330.53906402603
3350,3500.0,9330.53906402603
3351,8000.0,9330.53906402603
3352,3000.0,9330.53906402603
3353,9800.0,9330.53906402603
3354,3500.0,9330.53906402603
3355,3000.0,9330.53906402603
3356,13500.0,9330.53906402603
3357,12000.0,9330.53906402603
3358,3500.0,9330.53906402603
3359,9500.0,9330.53906402603
3360,10700.0,9330.53906402603
3361,3500.0,9330.53906402603
3362,10500.0,9330.53906402603
3363,7000.0,9330.53906402603
3364,8800.0,9330.53906402603
3365,8800.0,9330.53906402603
3366,12000.0,9330.53906402603
3367,3500.0,9330.53906402603
3368,9500.0,9330.53906402603
3369,9800.0,9330.53906402603
3370,13000.0,9330.53906402603
3371,3000.0,9330.53906402603
3372,8500.0,9330.53906402603
3373,12000.0,9330.53906402603
3374,8800.0,9330.53906402603
3375,10500.0,9330.53906402603
3376,8000.0,9330.53906402603
3377,10500.0,9330.53906402603
3378,9500.0,9330.53906402603
3379,5000.0,9330.53906402603
3380,10000.0,9330.53906402603
3381,6000.0,9330.53906402603
3382,9500.0,9330.53906402603
3383,13500.0,9330.53906402603
3384,30000.0,9330.53906402603
3385,8500.0,9330.53906402603
3386,12500.0,9330.53906402603
3387,12800.0,9330.53906402603
3388,12800.0,9330.53906402603
3389,16000.0,9330.53906402603
3390,9800.0,9330.53906402603
3391,4500.0,9330.53906402603
3392,4500.0,9330.53906402603
3393,9500.0,9330.53906402603
3394,9500.0,9330.53906402603
3395,9800.0,9330.53906402603
3396,21500.0,9330.53906402603
3397,8800.0,9330.53906402603
3398,5000.0,9330.53906402603
3399,5000.0,9330.53906402603
3400,4000.0,9330.53906402603
3401,5000.0,9330.53906402603
3402,6500.0,9330.53906402603
3403,7000.0,9330.53906402603
3404,17500.0,9330.53906402603
3405,10500.0,9330.53906402603
3406,8000.0,9330.53906402603
3407,3500.0,9330.53906402603
3408,13000.0,9330.53906402603
3409,9800.0,9330.53906402603
3410,12000.0,9330.53906402603
3411,8000.0,9330.53906402603
3412,12500.0,9330.53906402603
3413,8500.0,9330.53906402603
3414,8500.0,9330.53906402603
3415,9800.0,9330.53906402603
3416,8500.0,9330.53906402603
3417,8500.0,9330.53906402603
3418,8000.0,9330.53906402603
3419,10700.0,9330.53906402603
3420,10700.0,9330.53906402603
3421,8000.0,9330.53906402603
3422,17500.0,9330.53906402603
3423,9000.0,9330.53906402603
3424,21500.0,9330.53906402603
3425,9500.0,9330.53906402603
3426,13000.0,9330.53906402603
3427,13000.0,9330.53906402603
3428,14500.0,9330.53906402603
3429,12800.0,9330.53906402603
3430,3500.0,9330.53906402603
3431,16500.0,9330.53906402603
3432,17500.0,9330.53906402603
3433,9500.0,9330.53906402603
3434,2500.0,9330.53906402603
3435,3500.0,9330.53906402603
3436,3500.0,9330.53906402603
3437,2500.0,9330.53906402603
3438,9500.0,9330.53906402603
3439,30000.0,9330.53906402603
3440,13000.0,9330.53906402603
3441,13000.0,9330.53906402603
3442,14500.0,9330.53906402603
3443,3500.0,9330.53906402603
3444,9500.0,9330.53906402603
3445,9500.0,9330.53906402603
3446,9500.0,9330.53906402603
3447,30500.0,9330.53906402603
3448,14500.0,9330.53906402603
3449,3500.0,9330.53906402603
3450,6000.0,9330.53906402603
3451,12000.0,9330.53906402603
3452,13000.0,9330.53906402603
3453,9500.0,9330.53906402603
3454,11800.0,9330.53906402603
3455,11800.0,9330.53906402603
3456,10500.0,9330.53906402603
3457,10500.0,9330.53906402603
3458,3500.0,9330.53906402603
3459,8500.0,9330.53906402603
3460,1800.0,9330.53906402603
3461,10500.0,9330.53906402603
3462,7500.0,9330.53906402603
3463,2500.0,9330.53906402603
3464,9500.0,9330.53906402603
3465,9500.0,9330.53906402603
3466,9500.0,9330.53906402603
